1.24.1.168,"-16.4489676715194 -71.5899643833678",1.24.1-11
1.24.1.169,"-16.4489279203637 -71.5900285767954",1.24.1-11
1.24.1.170,"-16.4489072102757 -71.5901114475077",1.24.1-11
1.24.1.171,"-16.4488920318012 -71.5901596071078",1.24.1-11
1.24.1.172,"-16.4488652933841 -71.5902241080758",1.24.1-11
1.24.1.173,"-16.4488435450067 -71.5902599613720",1.24.1-11
1.24.1.174,"-16.4488222448125 -71.5902973896361",1.24.1-11
1.24.1.175,"-16.4488066674861 -71.5903470965116",1.24.1-11
1.24.1.176,"-16.4487861514689 -71.5904061798980",1.24.1-11
1.24.1.177,"-16.4487738523693 -71.5904764686472",1.24.1-11
1.24.1.178,"-16.4487484267502 -71.5905276287248",1.24.1-11
1.24.1.179,"-16.4487190471401 -71.5906144787796",1.24.1-11
1.24.1.180,"-16.4486422050280 -71.5905701044659",1.24.1-11
1.24.1.181,"-16.4485855728137 -71.5905425713495",1.24.1-11
1.24.1.182,"-16.4485044995302 -71.5904816327474",1.24.1-11
1.24.1.183,"-16.4484158960764 -71.5904541622775",1.24.1-11
1.24.1.184,"-16.4482904336620 -71.5903972446650",1.24.1-11
1.24.1.185,"-16.4482138046074 -71.5903273698091",1.24.1-11
1.24.1.186,"-16.4482804274488 -71.5900719879280",1.24.1-11
1.24.1.187,"-16.4481410711186 -71.5903009459410",1.24.1-11
1.24.1.188,"-16.4482355468167 -71.5905778183287",1.24.1-12
1.24.1.189,"-16.4482932943344 -71.5906233694647",1.24.1-12
1.24.1.190,"-16.4484094106197 -71.5906416501406",1.24.1-12
1.24.1.191,"-16.4485119797187 -71.5906955513065",1.24.1-12
1.24.1.192,"-16.4486216034111 -71.5907627975580",1.24.1-12
1.24.1.193,"-16.4486145305992 -71.5908477463179",1.24.1-12
1.24.1.194,"-16.4485871785859 -71.5909190396049",1.24.1-12
1.24.1.195,"-16.4485636869504 -71.5909853860721",1.24.1-12
1.24.1.196,"-16.4485627519668 -71.5910590342408",1.24.1-12
1.24.1.197,"-16.4485047253777 -71.5911010983960",1.24.1-12
1.24.1.198,"-16.4484531044581 -71.5912745992499",1.24.1-12
1.24.1.199,"-16.4484099672472 -71.5914248366214",1.24.1-12
1.24.1.200,"-16.4482986106960 -71.5913990836003",1.24.1-12
1.24.1.201,"-16.4482009563160 -71.5913461389935",1.24.1-12
1.24.1.202,"-16.4480907053819 -71.5912789050022",1.24.1-12
1.24.1.203,"-16.4481042666322 -71.5912169739790",1.24.1-12
1.24.1.204,"-16.4481178697590 -71.5911314770210",1.24.1-12
1.24.1.205,"-16.4481462321261 -71.5910740498670",1.24.1-12
1.24.1.206,"-16.4481804957529 -71.5908704856135",1.24.1-12
1.24.1.207,"-16.4481971366226 -71.5907918434108",1.24.1-12
1.24.1.208,"-16.4482127449672 -71.5906778059854",1.24.1-12
1.24.1.209,"-16.4479161672360 -71.5905321112066",1.24.1-13
1.24.1.210,"-16.4480291641422 -71.5907127833444",1.24.1-13
