type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-17,-16.38506852946977,-71.52056898295493,-16.3850685294698,-71.5205689829549,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38577881279428,-71.5200079267167,-16.3857788127943,-71.5200079267167,False, , ,0, , , , , , 
TRACK,1.1.1-18, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-18,-16.38577869830574,-71.51963721272158,-16.3857786983057,-71.5196372127216,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38557451917047,-71.51940002354267,-16.3855745191705,-71.5194000235427,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38526829445923,-71.51901999362563,-16.3852682944592,-71.5190199936256,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38499561725106,-71.51866234951346,-16.3849956172511,-71.5186623495134,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38470041315319,-71.51891391301535,-16.3847004131532,-71.5189139130153,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38488364936806,-71.51917863360228,-16.3848836493681,-71.5191786336023,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38512122730563,-71.51950396304952,-16.3851212273056,-71.5195039630495,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38584958621413,-71.51994497155782,-16.3858495862141,-71.5199449715578,False, , ,0, , , , , , 
TRACK,1.1.1-18,-16.38595149861876,-71.51986812547301,-16.3859514986188,-71.519868125473,False, , ,0, , , , , , 
TRACK,1.1.1-19, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-19,-16.3860420908077,-71.51948747225282,-16.3860420908077,-71.5194874722528,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38598040206864,-71.51907819656827,-16.3859804020686,-71.5190781965683,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38562144227269,-71.51809319608979,-16.3856214422727,-71.5180931960898,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38537779434727,-71.51771772621616,-16.3853777943473,-71.5177177262161,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38504190318117,-71.51715901668378,-16.3850419031812,-71.5171590166838,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38488540471498,-71.51702148478952,-16.384885404715,-71.5170214847895,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38449044916958,-71.51671983829338,-16.3844904491696,-71.5167198382934,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38425708119507,-71.51679787415809,-16.3842570811951,-71.5167978741581,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38406047124783,-71.51694721048055,-16.3840604712478,-71.5169472104805,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38417079502839,-71.5170879104098,-16.3841707950284,-71.5170879104098,False, , ,0, , , , , , 
TRACK,1.1.1-19,-16.38442488914982,-71.51741538677786,-16.3844248891498,-71.5174153867779,False, , ,0, , , , , , 
